facility_id,facility_name,street,city,state,zip_code,county,telephone_number,start_date,end_date,cauti_sir,cauti_lcl,cauti_catheter_days,cauti_observed,cauti_predicted,cauti_ucl,clabsi_sir,clabsi_lcl,clabsi_observed,clabsi_predicted,clabsi_ucl,clabsi_device_days,cdiff_sir,cdiff_lcl,cdiff_observed,cdiff_patient_days,cdiff_predicted,cdiff_ucl,mrsa_sir,mrsa_lcl,mrsa_observed,mrsa_patient_days,mrsa_predicted,mrsa_ucl,ssi_hyst_sir,ssi_hyst_lcl,ssi_hyst_procedures,ssi_hyst_observed,ssi_hyst_predicted,ssi_hyst_ucl,ssi_colon_sir,ssi_colon_lcl,ssi_colon_procedures,ssi_colon_observed,ssi_colon_predicted,ssi_colon_ucl,median_income,poverty_percentage,tract,x-coordinates,y-coordinates
390203,DOYLESTOWN HOSPITAL,595 WEST STATE ST,DOYLESTOWN,PA,18901,BUCKS,(215) 345-2200,01/01/2024,12/31/2024,0.616,0.226,6658,5,8.112,1.366,0.557,0.177,4,7.176,1.345,6903,0.618,0.366,16,56710,25.879,0.983,1.106,0.281,3,58946,2.712,3.011,Not Available,Not Available,13,0,0.086,Not Available,0.906,0.288,183,4,4.413,2.186,111151,3.1,104604,-75.145568242695,40.30388680592
390204,NAZARETH HOSPITAL,2601 HOLME AVE,PHILADELPHIA,PA,19152,PHILADELPHIA,(215) 335-6000,01/01/2024,12/31/2024,0.981,0.165,1917,2,2.038,3.242,0.728,0.036,1,1.374,3.589,1401,0.225,0.057,3,32285,13.304,0.614,2.469,0.785,4,32285,1.620,5.956,Not Available,Not Available,1,0,0.013,Not Available,Not Available,Not Available,25,0,0.689,Not Available,42895,25.7,033300,-75.042753286805,40.058339003082
390204,NAZARETH HOSPITAL,2601 HOLME AVE,PHILADELPHIA,PA,19152,PHILADELPHIA,(215) 335-6000,01/01/2024,12/31/2024,0.981,0.165,1917,2,2.038,3.242,0.728,0.036,1,1.374,3.589,1401,0.225,0.057,3,32285,13.304,0.614,2.469,0.785,4,32285,1.620,5.956,Not Available,Not Available,1,0,0.013,Not Available,Not Available,Not Available,25,0,0.689,Not Available,55389,17.3,033300,-75.042753286805,40.058339003082
390223,PENN PRESBYTERIAN MEDICAL CENTER,51 NORTH 39TH STREET,PHILADELPHIA,PA,19104,PHILADELPHIA,(215) 662-8000,01/01/2024,12/31/2024,0.711,0.428,13181,17,23.898,1.116,0.754,0.438,15,19.902,1.215,18166,0.538,0.359,26,103592,48.308,0.777,1.153,0.641,13,103592,11.275,1.922,Not Available,Not Available,114,1,0.912,Not Available,0.911,0.399,250,7,7.682,1.802,73797,6.6,009100,-75.19947039462,39.957216653887
390223,PENN PRESBYTERIAN MEDICAL CENTER,51 NORTH 39TH STREET,PHILADELPHIA,PA,19104,PHILADELPHIA,(215) 662-8000,01/01/2024,12/31/2024,0.711,0.428,13181,17,23.898,1.116,0.754,0.438,15,19.902,1.215,18166,0.538,0.359,26,103592,48.308,0.777,1.153,0.641,13,103592,11.275,1.922,Not Available,Not Available,114,1,0.912,Not Available,0.911,0.399,250,7,7.682,1.802,35139,40.5,009100,-75.19947039462,39.957216653887
390226,PENNSYLVANIA HOSPITAL,800 SPRUCE STREET,PHILADELPHIA,PA,19107,PHILADELPHIA,(215) 829-3000,01/01/2024,12/31/2024,0.939,0.436,6824,8,8.521,1.783,1.188,0.661,13,10.940,1.981,10340,0.368,0.209,14,80335,38.080,0.602,0.567,0.180,4,100800,7.049,1.369,0.957,0.243,389,3,3.134,2.605,1.033,0.379,183,5,4.838,2.291,136310,3.1,001102,-75.154845554289,39.945680181785
390228,ST CLAIR HOSPITAL,1000 BOWER HILL ROAD,PITTSBURGH,PA,15243,ALLEGHENY,(412) 942-4000,01/01/2024,12/31/2024,0.559,0.227,8879,6,10.734,1.163,0.297,0.050,2,6.737,0.981,6518,0.279,0.129,8,61830,28.692,0.529,0.560,0.094,2,64075,3.573,1.849,Not Available,Not Available,15,2,0.129,Not Available,1.127,0.358,198,4,3.549,2.719,109518,2.2,473602,-80.065128032385,40.378035129728
390231,JEFFERSON ABINGTON HOSPITAL,1200 OLD YORK ROAD,ABINGTON,PA,19001,MONTGOMERY,(215) 481-2000,01/01/2024,12/31/2024,0.339,0.165,18251,9,26.565,0.622,0.657,0.366,13,19.776,1.096,18744,0.620,0.469,53,165682,85.515,0.804,0.457,0.168,5,183650,10.930,1.014,1.198,0.381,377,4,3.340,2.889,0.852,0.396,350,8,9.385,1.619,123625,3.4,201607,-75.120312584426,40.117450870254
390270,GEISINGER WYOMING VALLEY MEDICAL CENTER,1000 EAST MOUNTAIN BOULEVARD,WILKES BARRE,PA,18711,LUZERNE,(570) 826-7300,01/01/2024,12/31/2024,0.528,0.268,15660,10,18.942,0.941,0.813,0.378,8,9.836,1.544,9478,0.538,0.377,33,97065,61.327,0.747,1.234,0.602,9,103412,7.292,2.265,Not Available,Not Available,50,0,0.418,Not Available,1.493,0.728,202,9,6.030,2.739,68875,14.7,211800,-75.808702179448,41.251103678383
390272,VALLEY FORGE MEDICAL CENTER,1033 WEST GERMANTOWN PIKE,NORRISTOWN,PA,19403,MONTGOMERY,(610) 539-8500,01/01/2024,12/31/2024,Not Available,Not Available,6,0,0.003,Not Available,Not Available,Not Available,0,0.119,Not Available,204,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,113843,2.9,203302,-75.368813676857,40.15654603526
390304,ROXBOROUGH MEMORIAL HOSPITAL,5800 RIDGE AVE,PHILADELPHIA,PA,19128,PHILADELPHIA,(215) 483-9900,01/01/2024,12/31/2024,Not Available,Not Available,1184,1,0.835,Not Available,Not Available,Not Available,0,0.651,Not Available,932,0.651,0.207,4,11998,6.144,1.570,Not Available,Not Available,0,11998,0.669,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6,0,0.145,Not Available,88924,15.6,021000,-75.210352820702,40.028518266891
